 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Procedimento: 0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL
Período:Dez/2020
"Município";"Internações"
"220770 Parnaíba";47
"221060 São Raimundo Nonato";8
"221100 Teresina";122
"221130 Valença do Piauí";13
"230020 Acaraú";17
"230030 Acopiara";6
"230110 Aracati";5
"230250 Brejo Santo";13
"230280 Canindé";16
"230350 Cascavel";12
"230370 Caucaia";38
"230380 Cedro";4
"230410 Crateús";28
"230420 Crato";35
"230428 Eusébio";6
"230440 Fortaleza";196
"230470 Granja";1
"230500 Guaraciaba do Norte";1
"230523 Horizonte";11
"230540 Icó";1
"230550 Iguatu";7
"230580 Ipu";7
"230640 Itapipoca";22
"230690 Jaguaribe";5
"230750 Lavras da Mangabeira";3
"230760 Limoeiro do Norte";24
"230765 Maracanaú";60
"230830 Milagres";1
"230850 Mombaça";1
"230870 Morada Nova";2
"231020 Paracuru";1
"231130 Quixadá";22
"231140 Quixeramobim";2
"231160 Redenção";4
"231180 Russas";12
"231220 Santa Quitéria";1
"231290 Sobral";56
"231330 Tauá";4
"231340 Tianguá";24
"231400 Várzea Alegre";11
"240260 Ceará-Mirim";26
"240310 Currais Novos";7
"240450 Guamaré";2
"240710 Macaíba";26
"240800 Mossoró";34
"240810 Natal";88
"240325 Parnamirim";26
"240940 Pau dos Ferros";17
"241120 Santa Cruz";7
"241220 São José de Mipibu";13
"250180 Bayeux";2
"250320 Cabedelo";8
"250370 Cajazeiras";12
"250400 Campina Grande";82
"250430 Catolé do Rocha";12
"250750 João Pessoa";88
"250970 Monteiro";5
"251080 Patos";34
"251140 Picuí";2
"251210 Pombal";4
"251230 Princesa Isabel";1
"251370 Santa Rita";22
"251630 Sumé";2
"260010 Afogados da Ingazeira";30
"260110 Araripina";19
"260120 Arcoverde";42
"260290 Cabo de Santo Agostinho";11
"260345 Camaragibe";12
"260410 Caruaru";107
"260570 Floresta";6
"260600 Garanhuns";48
"260620 Goiana";6
"260720 Ipojuca";14
"260790 Jaboatão dos Guararapes";32
"260890 Limoeiro";16
"260950 Nazaré da Mata";22
"260960 Olinda";26
"260990 Ouricuri";20
"261000 Palmares";35
"261090 Pesqueira";5
"261110 Petrolina";33
"261160 Recife";190
"261220 Salgueiro";19
"261350 São José do Belmonte";5
"261390 Serra Talhada";13
"261640 Vitória de Santo Antão";9
"270030 Arapiraca";46
"270070 Batalha";1
"270430 Maceió";118
"270630 Palmeira dos Índios";12
"270800 Santana do Ipanema";53
"270930 União dos Palmares";16
"280030 Aracaju";64
"280130 Capela";5
"280210 Estância";24
"280350 Lagarto";32
"280480 Nossa Senhora do Socorro";26
"280570 Propriá";13
"290070 Alagoinhas";40
"290080 Alcobaça";1
"290160 Antas";3
"290270 Barra";7
"290280 Barra da Estiva";6
"290320 Barreiras";32
"290390 Bom Jesus da Lapa";14
"290410 Boquira";3
"290520 Caetité";1
"290530 Cafarnaum";1
"290570 Camaçari";47
"290600 Campo Formoso";10
"290687 Capim Grosso";10
"290840 Conceição do Coité";13
"290980 Cruz das Almas";15
"291005 Dias d'Ávila";7
"291070 Euclides da Cunha";6
"291072 Eunápolis";8
"291080 Feira de Santana";132
"291170 Guanambi";13
"291200 Ibiassucê";1
"291300 Ibitiara";1
"291320 Ibotirama";14
"291390 Ipiaú";9
"291440 Iraquara";6
"291460 Irecê";46
"291470 Itaberaba";7
"291480 Itabuna";23
"291610 Itaparica";6
"291730 Ituberá";1
"291735 Jaborandi";3
"291800 Jequié";50
"291840 Juazeiro";82
"291920 Lauro de Freitas";19
"291950 Livramento de Nossa Senhora";6
"291980 Macaúbas";1
"292100 Mata de São João";8
"292120 Miguel Calmon";5
"292170 Morro do Chapéu";1
"292200 Mucuri";1
"292360 Paramirim";3
"292400 Paulo Afonso";20
"292440 Pilão Arcado";1
"292530 Porto Seguro";23
"292600 Remanso";3
"292630 Riachão do Jacuípe";6
"292640 Riacho de Santana";1
"292660 Ribeira do Pombal";17
"292740 Salvador";187
"292810 Santa Maria da Vitória";1
"292870 Santo Antônio de Jesus";36
"292890 São Desidério";2
"292900 São Félix";9
"292905 São Félix do Coribe";2
"293010 Senhor do Bonfim";14
"293070 Simões Filho";12
"293290 Valença";27
"293330 Vitória da Conquista";98
"293340 Wagner";1
"310020 Abaeté";2
"310030 Abre Campo";1
"310150 Além Paraíba";4
"310160 Alfenas";14
"310260 Andradas";1
"310280 Andrelândia";1
"310350 Araguari";5
"310400 Araxá";1
"310420 Arcos";1
"310430 Areado";1
"310510 Bambuí";3
"310560 Barbacena";11
"310590 Barroso";3
"310620 Belo Horizonte";111
"310630 Belo Oriente";1
"310640 Belo Vale";1
"310670 Betim";23
"310710 Boa Esperança";3
"310730 Bocaiúva";7
"310740 Bom Despacho";2
"310860 Brasília de Minas";12
"310900 Brumadinho";2
"310930 Buritis";1
"311000 Caeté";2
"311060 Cambuí";1
"311100 Campestre";1
"311110 Campina Verde";2
"311120 Campo Belo";5
"311150 Campos Altos";1
"311160 Campos Gerais";1
"311230 Capelinha";7
"311320 Carandaí";2
"311330 Carangola";6
"311340 Caratinga";12
"311430 Carmo do Paranaíba";1
"311440 Carmo do Rio Claro";1
"311450 Carmópolis de Minas";1
"311510 Cássia";1
"311530 Cataguases";5
"311660 Cláudio";2
"311750 Conceição do Mato Dentro";1
"311770 Conceição do Rio Verde";1
"311830 Conselheiro Lafaiete";5
"311860 Contagem";22
"311880 Coração de Jesus";1
"311930 Coromandel";3
"312090 Curvelo";11
"312160 Diamantina";8
"312230 Divinópolis";17
"312390 Entre Rios de Minas";3
"312410 Esmeraldas";1
"312560 Felisburgo";1
"312670 Francisco Sá";2
"312710 Frutal";6
"312770 Governador Valadares";3
"312800 Guanhães";6
"312830 Guaranésia";1
"312870 Guaxupé";5
"312950 Ibiá";2
"313120 Ipanema";3
"313130 Ipatinga";12
"313170 Itabira";4
"313190 Itabirito";6
"313220 Itaguara";1
"313250 Itamarandiba";4
"313270 Itambacuri";3
"313310 Itanhandu";1
"313330 Itaobim";5
"313380 Itaúna";10
"313420 Ituiutaba";7
"313440 Iturama";3
"313510 Janaúba";11
"313620 João Monlevade";4
"313670 Juiz de Fora";34
"313690 Juruaia";1
"313720 Lagoa da Prata";2
"313770 Lajinha";1
"313780 Lambari";2
"313820 Lavras";5
"313840 Leopoldina";1
"313880 Luz";1
"313900 Machado";2
"313930 Manga";3
"313940 Manhuaçu";2
"313960 Mantena";6
"314000 Mariana";3
"314140 Medina";3
"314180 Minas Novas";2
"314280 Monte Alegre de Minas";1
"314310 Monte Carmelo";4
"314330 Montes Claros";17
"314390 Muriaé";17
"314410 Muzambinho";2
"314480 Nova Lima";2
"314520 Nova Serrana";5
"314560 Oliveira";3
"314600 Ouro Fino";6
"314610 Ouro Preto";5
"314630 Padre Paraíso";2
"314710 Pará de Minas";6
"314700 Paracatu";6
"314760 Passa Quatro";1
"314790 Passos";10
"314800 Patos de Minas";13
"314810 Patrocínio";8
"314860 Peçanha";2
"314930 Pedro Leopoldo";11
"315120 Pirapora";8
"315140 Pitangui";1
"315150 Piumhi";5
"315180 Poços de Caldas";2
"315210 Ponte Nova";10
"315250 Pouso Alegre";16
"315280 Prata";3
"315430 Resplendor";5
"315460 Ribeirão das Neves";5
"315700 Salinas";2
"315720 Santa Bárbara";3
"315820 Santa Maria do Suaçuí";3
"315960 Santa Rita do Sapucaí";4
"315980 Santa Vitória";1
"316040 Santo Antônio do Monte";4
"316070 Santos Dumont";8
"316110 São Francisco";6
"316200 São Gonçalo do Sapucaí";2
"316250 São João del Rei";4
"316280 São João Evangelista";2
"316290 São João Nepomuceno";1
"316370 São Lourenço";7
"316710 Serro";5
"316720 Sete Lagoas";11
"316800 Taiobeiras";21
"316860 Teófilo Otoni";12
"316870 Timóteo";7
"316935 Três Marias";4
"316940 Três Pontas";2
"316970 Turmalina";4
"316990 Ubá";14
"317010 Uberaba";24
"317020 Uberlândia";11
"317070 Varginha";9
"317120 Vespasiano";2
"317130 Viçosa";5
"317180 Virginópolis";1
"320010 Afonso Cláudio";1
"320120 Cachoeiro de Itapemirim";7
"320130 Cariacica";35
"320140 Castelo";3
"320150 Colatina";25
"320190 Domingos Martins";2
"320230 Guaçuí";6
"320240 Guarapari";8
"320245 Ibatiba";4
"320320 Linhares";16
"320390 Nova Venécia";3
"320455 Santa Maria de Jetibá";3
"320460 Santa Teresa";7
"320490 São Mateus";19
"320500 Serra";15
"320506 Venda Nova do Imigrante";2
"320520 Vila Velha";20
"320530 Vitória";41
"330010 Angra dos Reis";16
"330015 Aperibé";1
"330023 Armação dos Búzios";9
"330030 Barra do Piraí";5
"330040 Barra Mansa";19
"330060 Bom Jesus do Itabapoana";2
"330070 Cabo Frio";14
"330100 Campos dos Goytacazes";52
"330120 Carmo";2
"330130 Casimiro de Abreu";9
"330170 Duque de Caxias";80
"330185 Guapimirim";3
"330190 Itaboraí";10
"330220 Itaperuna";12
"330240 Macaé";11
"330285 Mesquita";41
"330290 Miguel Pereira";4
"330310 Natividade";2
"330330 Niterói";42
"330340 Nova Friburgo";10
"330350 Nova Iguaçu";60
"330360 Paracambi";1
"330380 Paraty";4
"330395 Pinheiral";5
"330400 Piraí";5
"330415 Quissamã";3
"330420 Resende";6
"330430 Rio Bonito";6
"330452 Rio das Ostras";19
"330455 Rio de Janeiro";356
"330490 São Gonçalo";36
"330500 São João da Barra";1
"330510 São João de Meriti";21
"330550 Saquarema";2
"330555 Seropédica";5
"330580 Teresópolis";9
"330600 Três Rios";12
"330610 Valença";3
"330620 Vassouras";5
"330630 Volta Redonda";20
"350010 Adamantina";1
"350050 Águas de Lindóia";1
"350070 Agudos";5
"350160 Americana";13
"350190 Amparo";5
"350210 Andradina";2
"350220 Angatuba";4
"350270 Apiaí";1
"350330 Araras";10
"350390 Arujá";3
"350400 Assis";9
"350410 Atibaia";6
"350450 Avaré";2
"350520 Bariri";3
"350550 Barretos";3
"350570 Barueri";33
"350590 Batatais";3
"350600 Bauru";29
"350635 Bertioga";15
"350650 Birigui";1
"350700 Boituva";2
"350750 Botucatu";2
"350760 Bragança Paulista";13
"350790 Brotas";1
"350840 Cabreúva";1
"350850 Caçapava";4
"350900 Caieiras";15
"350920 Cajamar";2
"350940 Cajuru";1
"350950 Campinas";55
"350960 Campo Limpo Paulista";4
"350970 Campos do Jordão";6
"351000 Cândido Mota";2
"351020 Capão Bonito";3
"351040 Capivari";2
"351050 Caraguatatuba";19
"351060 Carapicuíba";23
"351110 Catanduva";11
"355720 Chavantes";1
"351220 Conchal";1
"351280 Cosmópolis";2
"351300 Cotia";12
"351340 Cruzeiro";4
"351350 Cubatão";2
"351380 Diadema";19
"351500 Embu das Artes";7
"351550 Fernandópolis";3
"351570 Ferraz de Vasconcelos";8
"351620 Franca";31
"351630 Francisco Morato";12
"351740 Guaíra";7
"351760 Guapiara";2
"351820 Guararapes";1
"351840 Guaratinguetá";4
"351860 Guariba";1
"351870 Guarujá";16
"351880 Guarulhos";74
"351907 Hortolândia";20
"352044 Ilha Solteira";1
"352050 Indaiatuba";17
"352210 Itanhaém";22
"352220 Itapecerica da Serra";19
"352230 Itapetininga";3
"352240 Itapeva";5
"352250 Itapevi";8
"352260 Itapira";4
"352270 Itápolis";2
"352280 Itaporanga";1
"352310 Itaquaquecetuba";14
"352340 Itatiba";6
"352390 Itu";10
"352400 Itupeva";2
"352410 Ituverava";4
"352430 Jaboticabal";6
"352440 Jacareí";13
"352470 Jaguariúna";6
"352480 Jales";4
"352530 Jaú";21
"352590 Jundiaí";56
"352600 Junqueirópolis";2
"352670 Leme";1
"352680 Lençóis Paulista";5
"352690 Limeira";19
"352710 Lins";9
"352720 Lorena";13
"352730 Louveira";4
"352800 Macatuba";1
"352900 Marília";11
"352930 Matão";2
"352940 Mauá";19
"353010 Mirandópolis";3
"353030 Mirassol";2
"353050 Mococa";13
"353060 Mogi das Cruzes";48
"353070 Mogi Guaçu";16
"353080 Mogi Mirim";5
"353150 Monte Azul Paulista";1
"353180 Monte Mor";1
"353340 Nova Odessa";1
"353350 Novo Horizonte";4
"353390 Olímpia";5
"353430 Orlândia";2
"353440 Osasco";3
"353470 Ourinhos";12
"353530 Palmital";2
"353550 Paraguaçu Paulista";2
"353620 Pariquera-Açu";19
"353630 Patrocínio Paulista";3
"353700 Pedregulho";4
"353780 Piedade";5
"353790 Pilar do Sul";1
"353800 Pindamonhangaba";15
"353870 Piracicaba";23
"353930 Pirassununga";3
"354060 Porto Feliz";6
"354070 Porto Ferreira";9
"354100 Praia Grande";17
"354130 Presidente Epitácio";2
"354140 Presidente Prudente";12
"354150 Presidente Venceslau";2
"354160 Promissão";1
"354260 Registro";11
"354340 Ribeirão Preto";5
"354390 Rio Claro";14
"354425 Rosana";4
"354520 Salto";7
"354530 Salto de Pirapora";2
"354580 Santa Bárbara d'Oeste";7
"354630 Santa Cruz das Palmeiras";3
"354640 Santa Cruz do Rio Pardo";2
"354660 Santa Fé do Sul";7
"354680 Santa Isabel";2
"354750 Santa Rita do Passa Quatro";1
"354730 Santana de Parnaíba";8
"354770 Santo Anastácio";1
"354780 Santo André";23
"354850 Santos";9
"354870 São Bernardo do Campo";35
"354890 São Carlos";13
"354910 São João da Boa Vista";8
"354940 São Joaquim da Barra";8
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";36
"354990 São José dos Campos";23
"355010 São Manuel";1
"355030 São Paulo";550
"355040 São Pedro";5
"355060 São Roque";7
"355070 São Sebastião";6
"355100 São Vicente";11
"355160 Serra Negra";1
"355170 Sertãozinho";11
"355210 Socorro";1
"355220 Sorocaba";42
"355240 Sumaré";9
"355250 Suzano";22
"355280 Taboão da Serra";17
"355300 Taguaí";1
"355330 Tambaú";1
"355400 Tatuí";11
"355410 Taubaté";16
"355450 Tietê";9
"355500 Tupã";6
"355510 Tupi Paulista";1
"355540 Ubatuba";10
"355630 Valparaíso";2
"355640 Vargem Grande do Sul";3
"355700 Votorantim";6
"355710 Votuporanga";19
"410140 Apucarana";23
"410150 Arapongas";9
"410180 Araucária";13
"410200 Assis Chateaubriand";2
"410210 Astorga";1
"410240 Bandeirantes";1
"410250 Barbosa Ferraz";1
"410370 Cambé";3
"410400 Campina Grande do Sul";4
"410420 Campo Largo";17
"410430 Campo Mourão";14
"410480 Cascavel";35
"410490 Castro";11
"410540 Chopinzinho";2
"410550 Cianorte";4
"410580 Colombo";20
"410590 Colorado";5
"410640 Cornélio Procópio";4
"410650 Coronel Vivida";3
"410690 Curitiba";142
"410720 Dois Vizinhos";2
"410750 Engenheiro Beltrão";2
"410765 Fazenda Rio Grande";10
"410830 Foz do Iguaçu";11
"410840 Francisco Beltrão";10
"410860 Goioerê";4
"410940 Guarapuava";6
"410960 Guaratuba";2
"410975 Ibema";1
"410980 Ibiporã";4
"411070 Irati";15
"411150 Ivaiporã";2
"411180 Jacarezinho";5
"411200 Jaguariaíva";2
"411320 Lapa";5
"411330 Laranjeiras do Sul";5
"411370 Londrina";15
"411420 Mandaguari";1
"411460 Marechal Cândido Rondon";3
"411520 Maringá";37
"411560 Matelândia";1
"411570 Matinhos";1
"411580 Medianeira";5
"411690 Nova Esperança";2
"411695 Nova Esperança do Sudoeste";1
"411760 Palmas";2
"411840 Paranavaí";14
"411850 Pato Branco";9
"411915 Pinhais";20
"411930 Pinhão";1
"411960 Pitanga";5
"411990 Ponta Grossa";22
"412090 Quedas do Iguaçu";1
"412200 Rio Azul";2
"412240 Rolândia";6
"412250 Roncador";2
"412350 Santa Helena";2
"412390 Santa Mariana";1
"412410 Santo Antônio da Platina";22
"412550 São José dos Pinhais";33
"412560 São Mateus do Sul";1
"412625 Sarandi";8
"412710 Telêmaco Borba";10
"412770 Toledo";7
"412800 Ubiratã";1
"412810 Umuarama";12
"412820 União da Vitória";2
"420140 Araranguá";15
"420240 Blumenau";8
"420280 Braço do Norte";4
"420290 Brusque";19
"420300 Caçador";15
"420350 Campo Erê";1
"420360 Campos Novos";3
"420380 Canoinhas";8
"420390 Capinzal";2
"420420 Chapecó";14
"420430 Concórdia";6
"420460 Criciúma";5
"420480 Curitibanos";6
"420500 Dionísio Cerqueira";8
"420530 Faxinal dos Guedes";2
"420540 Florianópolis";11
"420550 Fraiburgo";1
"420590 Gaspar";6
"420690 Ibirama";6
"420700 Içara";3
"420730 Imbituba";6
"420820 Itajaí";13
"420850 Ituporanga";4
"420890 Jaraguá do Sul";10
"420900 Joaçaba";3
"420910 Joinville";31
"420930 Lages";25
"421010 Mafra";11
"421050 Maravilha";8
"421170 Orleans";2
"421290 Pinhalzinho";1
"421320 Pomerode";1
"421360 Porto União";5
"421470 Rio dos Cedros";4
"421490 Rio Fortuna";1
"421580 São Bento do Sul";5
"421630 São João Batista";1
"421650 São Joaquim";1
"421660 São José";27
"421690 São Lourenço do Oeste";5
"421720 São Miguel do Oeste";11
"421730 Saudades";1
"421750 Seara";2
"421780 Taió";1
"421830 Três Barras";2
"421870 Tubarão";17
"421930 Videira";3
"421950 Xanxerê";8
"421970 Xaxim";6
"430003 Aceguá";1
"430040 Alegrete";3
"430060 Alvorada";13
"430160 Bagé";9
"430210 Bento Gonçalves";4
"430280 Caçapava do Sul";2
"430300 Cachoeira do Sul";3
"430310 Cachoeirinha";6
"430350 Camaquã";4
"430390 Campo Bom";2
"430440 Canela";1
"430450 Canguçu";1
"430460 Canoas";22
"430463 Capão da Canoa";7
"430470 Carazinho";3
"430510 Caxias do Sul";5
"430610 Cruz Alta";1
"430660 Dom Pedrito";1
"430690 Encruzilhada do Sul";3
"430700 Erechim";5
"430750 Espumoso";3
"430770 Esteio";6
"430790 Farroupilha";4
"430850 Frederico Westphalen";1
"430860 Garibaldi";5
"430890 Getúlio Vargas";3
"430920 Gravataí";1
"430940 Guaporé";1
"430960 Horizontina";1
"431010 Igrejinha";4
"431020 Ijuí";1
"431060 Itaqui";4
"431100 Jaguarão";5
"431130 Lagoa Vermelha";4
"431180 Marau";5
"431240 Montenegro";6
"431330 Nova Prata";3
"431340 Novo Hamburgo";8
"431350 Osório";11
"431370 Palmeira das Missões";1
"431405 Parobé";7
"431410 Passo Fundo";9
"431440 Pelotas";26
"431470 Planalto";1
"431490 Porto Alegre";53
"431530 Quaraí";1
"431560 Rio Grande";5
"431570 Rio Pardo";2
"431640 Rosário do Sul";3
"431645 Salto do Jacuí";1
"431660 Sananduva";1
"431710 Sant'Ana do Livramento";6
"431670 Santa Bárbara do Sul";1
"431680 Santa Cruz do Sul";8
"431690 Santa Maria";11
"431720 Santa Rosa";2
"431730 Santa Vitória do Palmar";6
"431740 Santiago";2
"431750 Santo Ângelo";3
"431780 Santo Augusto";3
"431800 São Borja";5
"431840 São Jerônimo";5
"431870 São Leopoldo";6
"431880 São Lourenço do Sul";3
"431900 São Marcos";1
"431990 Sapiranga";9
"432000 Sapucaia do Sul";6
"432010 Sarandi";2
"432080 Soledade";1
"432090 Tapejara";3
"432145 Teutônia";9
"432150 Torres";8
"432160 Tramandaí";9
"432180 Três de Maio";5
"432190 Três Passos";1
"432220 Tupanciretã";3
"432240 Uruguaiana";5
"432250 Vacaria";3
"432260 Venâncio Aires";2
"432300 Viamão";10
"500020 Água Clara";1
"500060 Amambai";4
"500070 Anastácio";1
"500080 Anaurilândia";1
"500110 Aquidauana";10
"500190 Bataguassu";1
"500210 Bela Vista";6
"500240 Caarapó";3
"500270 Campo Grande";18
"500295 Chapadão do Sul";5
"500320 Corumbá";8
"500330 Coxim";1
"500380 Fátima do Sul";3
"500500 Jardim";6
"500540 Maracaju";4
"500560 Miranda";2
"500570 Naviraí";6
"500620 Nova Andradina";6
"500660 Ponta Porã";18
"500769 São Gabriel do Oeste";4
"500830 Três Lagoas";3
"510025 Alta Floresta";7
"510030 Alto Araguaia";1
"510250 Cáceres";8
"510267 Campo Verde";4
"510320 Colíder";1
"510325 Colniza";3
"510335 Confresa";4
"510337 Cotriguaçu";2
"510340 Cuiabá";57
"510350 Diamantino";3
"510410 Guarantã do Norte";7
"510560 Matupá";3
"510642 Peixoto de Azevedo";10
"510650 Poconé";1
"510700 Poxoréo";1
"510704 Primavera do Leste";13
"510760 Rondonópolis";21
"510787 Sapezal";3
"510790 Sinop";9
"510792 Sorriso";9
"510795 Tangará da Serra";9
"510840 Várzea Grande";21
"520080 Alvorada do Norte";7
"520110 Anápolis";24
"520140 Aparecida de Goiânia";24
"520330 Bela Vista de Goiás";1
"520510 Catalão";6
"520540 Ceres";4
"520800 Formosa";5
"520870 Goiânia";77
"520910 Goiatuba";2
"521000 Inhumas";2
"521180 Jaraguá";3
"521380 Morrinhos";4
"521450 Nerópolis";2
"521460 Niquelândia";2
"521760 Planaltina";2
"521770 Pontalina";2
"521800 Porangatu";1
"521880 Rio Verde";12
"522160 Uruaçu";4
"530010 Brasília";148
"Total";11152
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
